subject,run,task,formation,light_position,angle,response,RT,correct
1,1,1,1,2,1,0,0,0
1,1,1,1,1,1,1,1.20355626499986,1
1,1,1,1,1,2,1,1.10758760099998,1
1,1,1,1,2,1,2,0.607883675000267,1
1,1,1,1,2,2,2,0.904481223999937,1
1,1,1,1,1,2,1,1.01349469300021,1
1,1,1,1,2,2,2,0.873764331000075,1
1,1,1,1,1,1,1,1.1218760050001,1
1,1,1,3,2,2,2,1.13608417499972,1
1,1,1,3,2,1,2,0.961480066000149,1
1,1,1,3,1,1,1,0.615272855000057,1
1,1,1,3,2,2,2,0.657450569000048,1
1,1,1,3,1,2,1,0.725801646000036,1
1,1,1,3,1,2,1,0.585895195000376,1
1,1,1,3,1,1,1,0.519553020999865,1
1,1,1,3,2,1,2,0.436689147999914,1
1,1,1,2,2,1,2,1.24431622299971,1
1,1,1,2,1,1,1,0.669828418000179,1
1,1,1,2,1,1,1,0.7728691909997,1
1,1,1,2,2,1,2,0.608560587000284,1
1,1,1,2,2,2,2,1.10258217099999,1
1,1,1,2,1,2,1,0.639465859000211,1
1,1,1,2,2,2,2,0.686077032999947,1
1,1,1,2,1,2,1,0.671037668999816,1
1,1,1,4,2,2,1,1.3384288100001,0
1,1,1,4,1,1,1,1.16183387500041,1
1,1,1,4,2,1,2,0.982033879000028,1
1,1,1,4,1,2,1,0.606345948000126,1
1,1,1,4,2,2,2,1.14557419100038,1
1,1,1,4,1,1,1,0.506588706999992,1
1,1,1,4,1,2,1,0.600077540000257,1
1,1,1,4,2,1,2,0.658104303000073,1
1,2,2,3,1,1,1,1.918858215,1
1,2,2,3,1,2,1,1.4191678240004,1
1,2,2,3,2,2,2,1.15367126799993,1
1,2,2,3,1,1,1,0.74161410600027,1
1,2,2,3,2,2,2,0.777730621000046,1
1,2,2,3,2,1,2,0.951111544000014,1
1,2,2,3,1,2,1,0.877789457999825,1
1,2,2,3,2,1,2,0.875728459000129,1
1,2,2,2,1,1,2,0.702317699999639,0
1,2,2,2,2,1,1,1.34833778299981,0
1,2,2,2,2,2,1,1.81694276200005,0
1,2,2,2,2,1,1,1.78539838999995,0
1,2,2,2,1,2,2,1.20638200799976,0
1,2,2,2,1,2,2,1.6940408370001,0
1,2,2,2,1,1,0,0,0
1,2,2,2,2,2,2,1.55779239799995,1
1,2,2,4,1,1,1,1.10831127700021,1
1,2,2,4,1,2,1,0.888584928,1
1,2,2,4,2,2,2,0.857706220999717,1
1,2,2,4,1,1,1,0.702162434000002,1
1,2,2,4,2,2,2,1.05273456199984,1
1,2,2,4,2,1,2,1.17847483300011,1
1,2,2,4,1,2,1,0.931657331999759,1
1,2,2,4,2,1,2,0.713740776000122,1
1,2,2,1,1,2,1,0.987431947000005,1
1,2,2,1,1,1,2,0.523272182000255,0
1,2,2,1,2,2,1,0.48413564700013,0
1,2,2,1,2,1,2,1.36701911900036,1
1,2,2,1,1,2,1,0.923869536999973,1
1,2,2,1,2,1,2,1.3206226289999,1
1,2,2,1,1,1,1,0.956512315000055,1
1,2,2,1,2,2,2,1.41480385999967,1
1,3,1,4,1,2,1,1.18572684899982,1
1,3,1,4,2,1,2,0.700143668999772,1
1,3,1,4,1,1,1,1.15391596400013,1
1,3,1,4,2,2,2,0.746846844000174,1
1,3,1,4,2,2,2,0.761229227000058,1
1,3,1,4,1,2,1,0.566753309999967,1
1,3,1,4,2,1,2,1.23487193699975,1
1,3,1,4,1,1,1,0.519712719999916,1
1,3,1,3,1,1,1,0.446262510999986,1
1,3,1,3,2,2,2,1.08630706099984,1
1,3,1,3,2,2,2,0.78443622199984,1
1,3,1,3,1,2,1,0.702542916000311,1
1,3,1,3,2,1,2,1.05260125699988,1
1,3,1,3,2,1,2,0.537549022999883,1
1,3,1,3,1,2,1,0.867846521000047,1
1,3,1,3,1,1,1,1.034463125,1
1,3,1,1,2,2,2,1.14881067200031,1
1,3,1,1,1,1,1,0.687696711000171,1
1,3,1,1,1,2,1,0.996860678999838,1
1,3,1,1,1,2,1,0.804827989999922,1
1,3,1,1,2,1,2,1.01751618699973,1
1,3,1,1,1,1,1,0.634853526999905,1
1,3,1,1,2,1,2,0.792734710999866,1
1,3,1,1,2,2,2,1.42475813700003,1
1,3,1,2,2,2,2,0.759697543000129,1
1,3,1,2,2,1,2,0.489117265000004,1
1,3,1,2,1,1,1,0.865440821999982,1
1,3,1,2,1,1,1,0.714911921999828,1
1,3,1,2,1,2,1,0.601406694000161,1
1,3,1,2,2,1,2,0.734198609000032,1
1,3,1,2,1,2,1,0.786836005999703,1
1,3,1,2,2,2,2,1.23409772100013,1
1,4,2,1,1,1,1,1.05554252599995,1
1,4,2,1,2,1,2,0.829388465000193,1
1,4,2,1,2,2,2,1.0578805529999,1
1,4,2,1,2,2,2,0.845536992999769,1
1,4,2,1,1,1,1,0.737792333000016,1
1,4,2,1,2,1,2,0.866543308000018,1
1,4,2,1,1,2,1,1.14477919599994,1
1,4,2,1,1,2,1,0.52475401799984,1
1,4,2,3,1,2,1,0.888579979000042,1
1,4,2,3,1,1,1,0.736034494000251,1
1,4,2,3,1,1,1,0.502833995999936,1
1,4,2,3,2,1,2,0.880797218000225,1
1,4,2,3,2,2,2,0.885816682999575,1
1,4,2,3,2,2,2,0.611681539000074,1
1,4,2,3,1,2,2,1.23118693699962,0
1,4,2,3,2,1,2,1.18200076400035,1
1,4,2,2,1,1,1,0.737936944000012,1
1,4,2,2,1,2,1,0.839730461000272,1
1,4,2,2,2,1,2,1.27270850600007,1
1,4,2,2,2,1,2,0.837108188000002,1
1,4,2,2,2,2,2,1.04933447199983,1
1,4,2,2,1,2,1,0.921260513000107,1
1,4,2,2,2,2,2,0.81713832100013,1
1,4,2,2,1,1,1,0.720085506000032,1
1,4,2,4,1,2,1,0.83090318099994,1
1,4,2,4,1,1,1,0.756803137000134,1
1,4,2,4,2,1,2,0.671164341999884,1
1,4,2,4,2,1,2,0.658549393000158,1
1,4,2,4,1,2,1,0.805791812999814,1
1,4,2,4,1,1,1,0.624652422000054,1
1,4,2,4,2,2,2,0.680086231999667,1
1,4,2,4,2,2,1,1.2011716510001,0
1,5,1,1,2,2,2,1.70218823599953,1
1,5,1,1,1,1,1,0.813033262999852,1
1,5,1,1,2,2,2,0.839865029000066,1
1,5,1,1,2,1,2,0.85350654100057,1
1,5,1,1,1,2,1,1.22134675300003,1
1,5,1,1,2,1,2,1.04495824500009,1
1,5,1,1,1,1,1,0.730412257000353,1
1,5,1,1,1,2,1,0.664636552000047,1
1,5,1,4,1,2,1,0.747586131999924,1
1,5,1,4,2,2,2,0.686654314999942,1
1,5,1,4,2,1,2,0.554629577999549,1
1,5,1,4,1,2,1,1.17975345400009,1
1,5,1,4,1,1,1,0.574038767000275,1
1,5,1,4,1,1,1,0.559317588999875,1
1,5,1,4,2,2,2,1.30673957500039,1
1,5,1,4,2,1,2,0.997727457999645,1
1,5,1,3,1,1,1,0.618955989999449,1
1,5,1,3,1,2,1,0.584825785999783,1
1,5,1,3,2,2,2,0.534247691000019,1
1,5,1,3,2,1,2,0.488667302000067,1
1,5,1,3,2,1,2,0.477019746999758,1
1,5,1,3,1,1,1,0.577875908999886,1
1,5,1,3,1,2,1,0.556721448000644,1
1,5,1,3,2,2,2,0.607311282999945,1
1,5,1,2,1,1,1,0.628798509999797,1
1,5,1,2,2,1,2,0.432936977000281,1
1,5,1,2,1,2,1,0.567050314999506,1
1,5,1,2,1,2,1,0.778916618999574,1
1,5,1,2,1,1,1,0.476661280000371,1
1,5,1,2,2,2,2,1.00884335599949,1
1,5,1,2,2,1,2,0.880885477999982,1
1,5,1,2,2,2,2,0.736420782000096,1
1,6,2,3,2,2,2,0.75954686499972,1
1,6,2,3,2,1,2,0.812483271999554,1
1,6,2,3,1,2,1,0.698991837999529,1
1,6,2,3,1,1,1,1.00747551999939,1
1,6,2,3,1,1,1,0.422004113999719,1
1,6,2,3,2,2,2,0.859645681000075,1
1,6,2,3,1,2,1,1.15395466599966,1
1,6,2,3,2,1,2,0.924862138999742,1
1,6,2,1,2,1,2,1.59008974000062,1
1,6,2,1,2,1,2,0.701174322000043,1
1,6,2,1,1,2,1,0.691849009999714,1
1,6,2,1,1,1,1,0.670580244000121,1
1,6,2,1,1,1,1,0.81982114099992,1
1,6,2,1,2,2,2,0.719369366000137,1
1,6,2,1,2,2,2,0.641566381000302,1
1,6,2,1,1,2,1,0.68393016400023,1
1,6,2,2,2,1,2,1.10909832600009,1
1,6,2,2,1,1,1,0.568145587999425,1
1,6,2,2,2,1,2,0.999785800000609,1
1,6,2,2,2,2,2,0.822437680999428,1
1,6,2,2,1,1,1,0.747968562000096,1
1,6,2,2,2,2,2,0.877073331000247,1
1,6,2,2,1,2,1,0.796098780000648,1
1,6,2,2,1,2,1,0.689946859999509,1
1,6,2,4,1,2,1,0.620586053999432,1
1,6,2,4,1,2,1,0.434093024000504,1
1,6,2,4,2,1,2,0.901678172000175,1
1,6,2,4,2,2,2,1.05511756200031,1
1,6,2,4,1,1,1,0.760365519000516,1
1,6,2,4,2,1,2,0.898484143000132,1
1,6,2,4,1,1,1,0.865986664999582,1
1,6,2,4,2,2,2,0.744358313999328,1
1,7,1,3,2,2,2,1.17313399199975,1
1,7,1,3,1,2,1,0.807773582000664,1
1,7,1,3,2,1,2,0.656100219000109,1
1,7,1,3,1,2,1,0.512082832000488,1
1,7,1,3,1,1,1,1.00250867799969,1
1,7,1,3,2,1,2,0.759528529999443,1
1,7,1,3,2,2,2,0.605979773999934,1
1,7,1,3,1,1,1,0.727970403999279,1
1,7,1,1,1,2,1,0.854762182999366,1
1,7,1,1,1,1,1,0.8070591529995,1
1,7,1,1,2,1,2,1.14398228699974,1
1,7,1,1,2,2,2,0.725837734999914,1
1,7,1,1,2,1,2,0.536978452999392,1
1,7,1,1,1,1,1,0.441687225999885,1
1,7,1,1,1,2,1,0.629342739000094,1
1,7,1,1,2,2,2,0.719128724000257,1
1,7,1,2,1,2,1,1.36583817200062,1
1,7,1,2,2,2,2,0.603915999000492,1
1,7,1,2,1,2,1,0.44114732899925,1
1,7,1,2,2,1,2,0.616485479000403,1
1,7,1,2,2,1,2,0.522508328000185,1
1,7,1,2,1,1,1,0.440811641000437,1
1,7,1,2,2,2,2,0.924263044999861,1
1,7,1,2,1,1,1,0.659061921000102,1
1,7,1,4,1,1,1,0.450080448000335,1
1,7,1,4,2,2,2,0.72846989000027,1
1,7,1,4,1,2,1,0.43305250999947,1
1,7,1,4,1,1,1,0.520869871000286,1
1,7,1,4,2,1,2,1.51113332600016,1
1,7,1,4,1,2,1,1.09886072300014,1
1,7,1,4,2,2,2,0.508194963000278,1
1,7,1,4,2,1,2,0.586702497999795,1
1,8,2,3,1,2,1,1.18430949000049,1
1,8,2,3,2,1,2,0.790073543999824,1
1,8,2,3,2,2,2,0.900247128999581,1
1,8,2,3,1,2,1,0.706937320000179,1
1,8,2,3,1,1,1,0.61069609399965,1
1,8,2,3,2,1,2,0.627212446000158,1
1,8,2,3,2,2,2,0.855223474000013,1
1,8,2,3,1,1,1,0.549024437000298,1
1,8,2,1,2,2,2,1.05884493099984,1
1,8,2,1,1,1,1,0.419537892000335,1
1,8,2,1,1,1,1,0.442887024000811,1
1,8,2,1,1,2,1,0.671477128000333,1
1,8,2,1,2,1,2,0.71616322600039,1
1,8,2,1,2,2,2,1.01059962199997,1
1,8,2,1,2,1,2,1.08820106100029,1
1,8,2,1,1,2,1,0.699163243999465,1
1,8,2,4,1,1,1,0.530040378000194,1
1,8,2,4,1,2,1,0.711366042999543,1
1,8,2,4,2,2,2,0.573223583000072,1
1,8,2,4,2,1,2,0.843686207999781,1
1,8,2,4,1,1,1,0.567541598999924,1
1,8,2,4,2,2,2,0.584338127000592,1
1,8,2,4,2,1,2,1.3669321819998,1
1,8,2,4,1,2,1,1.22463821899964,1
1,8,2,2,2,2,2,0.806336685999668,1
1,8,2,2,2,1,2,0.536257007000131,1
1,8,2,2,1,2,1,0.651086109999596,1
1,8,2,2,2,1,2,0.634800830999666,1
1,8,2,2,1,1,1,0.537545980000687,1
1,8,2,2,1,2,1,0.645881321000161,1
1,8,2,2,2,2,2,0.619783402999929,1
1,8,2,2,1,1,1,0.731264027000179,1
1,9,1,3,1,1,1,0.646567316000073,1
1,9,1,3,2,2,2,0.689360222999312,1
1,9,1,3,2,1,2,0.668709460999708,1
1,9,1,3,1,2,1,0.554740427999604,1
1,9,1,3,2,1,2,0.525865214000078,1
1,9,1,3,1,1,1,0.501358747999802,1
1,9,1,3,1,2,1,0.335730073000377,1
1,9,1,3,2,2,2,0.59625688000051,1
1,9,1,1,2,2,2,0.766071924999778,1
1,9,1,1,2,1,2,0.404716689999987,1
1,9,1,1,1,2,1,0.652809959000479,1
1,9,1,1,2,1,2,0.462495806999868,1
1,9,1,1,1,2,1,0.691404115999831,1
1,9,1,1,2,2,2,0.497780456999863,1
1,9,1,1,1,1,1,1.03942024099979,1
1,9,1,1,1,1,1,0.996800291,1
1,9,1,4,2,1,2,0.715927093999198,1
1,9,1,4,1,2,1,0.511119013000098,1
1,9,1,4,2,2,2,0.79270778999944,1
1,9,1,4,2,2,2,0.56285392099926,1
1,9,1,4,1,2,1,0.549969316999523,1
1,9,1,4,1,1,1,0.433554085999276,1
1,9,1,4,2,1,2,0.441962658000193,1
1,9,1,4,1,1,1,0.473162225999658,1
1,9,1,2,2,2,2,0.633932026999901,1
1,9,1,2,2,2,2,0.498541078000017,1
1,9,1,2,2,1,2,0.699199030000273,1
1,9,1,2,2,1,2,0.544222328000615,1
1,9,1,2,1,1,1,0.419361854999806,1
1,9,1,2,1,1,1,0.45947304999936,1
1,9,1,2,1,2,1,0.945323873999769,1
1,9,1,2,1,2,1,0.746269850999852,1
1,10,2,3,2,2,2,0.82934217499951,1
1,10,2,3,1,1,1,0.605882235000536,1
1,10,2,3,1,2,1,0.921368954000172,1
1,10,2,3,2,2,2,0.553019887000119,1
1,10,2,3,2,1,2,0.714568532999692,1
1,10,2,3,1,1,1,0.472901791999902,1
1,10,2,3,1,2,1,0.564350182999988,1
1,10,2,3,2,1,2,0.68161526699987,1
1,10,2,4,1,1,1,1.02772962500057,1
1,10,2,4,1,2,1,0.571544890999576,1
1,10,2,4,2,2,2,0.582669581000118,1
1,10,2,4,1,1,1,0.645457652000005,1
1,10,2,4,2,2,2,0.752862211999854,1
1,10,2,4,1,2,1,0.450372579999566,1
1,10,2,4,2,1,2,0.677943231000427,1
1,10,2,4,2,1,2,0.522940894000385,1
1,10,2,2,2,2,2,0.606139657999847,1
1,10,2,2,1,2,1,0.534733573999802,1
1,10,2,2,1,1,1,0.540817141999469,1
1,10,2,2,2,2,2,0.661276210999858,1
1,10,2,2,2,1,2,1.077577432,1
1,10,2,2,1,1,1,0.440290810000079,1
1,10,2,2,2,1,2,0.519364262000636,1
1,10,2,2,1,2,1,1.02642985299917,1
1,10,2,1,1,1,1,0.458908072999293,1
1,10,2,1,1,2,1,0.567678553000405,1
1,10,2,1,1,2,1,0.543711335999433,1
1,10,2,1,2,2,2,0.68408337100027,1
1,10,2,1,2,1,2,0.648629166000319,1
1,10,2,1,2,2,2,1.1649143880004,1
1,10,2,1,2,1,2,0.697349336000116,1
1,10,2,1,1,1,1,0.799352464000549,1
1,11,1,2,1,1,1,0.654825212000105,1
1,11,1,2,1,2,1,0.635809350000272,1
1,11,1,2,2,2,2,0.386162746999617,1
1,11,1,2,2,1,2,0.499749167000118,1
1,11,1,2,1,1,1,0.360657684999751,1
1,11,1,2,2,2,2,0.524784911000097,1
1,11,1,2,2,1,2,0.458770733000165,1
1,11,1,2,1,2,1,0.810072647000197,1
1,11,1,4,1,2,1,0.504390844000227,1
1,11,1,4,1,1,1,0.558338207000816,1
1,11,1,4,2,1,2,0.399722101999942,1
1,11,1,4,1,2,1,0.434025999999903,1
1,11,1,4,2,2,2,0.97483604900026,1
1,11,1,4,1,1,1,0.483830602000126,1
1,11,1,4,2,1,2,0.414497769999798,1
1,11,1,4,2,2,2,0.523774246999892,1
1,11,1,1,1,2,2,0.849149227000453,0
1,11,1,1,1,2,1,0.500418104000346,1
1,11,1,1,2,2,2,0.463784414000656,1
1,11,1,1,2,1,2,0.53508924200014,1
1,11,1,1,1,1,1,0.543372436000027,1
1,11,1,1,1,1,1,0.623295643000347,1
1,11,1,1,2,2,2,1.08501943900046,1
1,11,1,1,2,1,2,0.511250079000092,1
1,11,1,3,1,1,1,0.79985165800008,1
1,11,1,3,2,2,2,1.03040314400005,1
1,11,1,3,2,1,2,0.368358572000034,1
1,11,1,3,1,2,1,1.08575612700042,1
1,11,1,3,2,2,2,0.556073847999869,1
1,11,1,3,2,1,2,0.77631428299992,1
1,11,1,3,1,1,1,0.474350716000117,1
1,11,1,3,1,2,1,0.442456338999364,1
1,12,2,4,2,1,2,0.925106818999666,1
1,12,2,4,1,1,1,0.687651793999976,1
1,12,2,4,2,1,2,0.691680752999673,1
1,12,2,4,1,2,1,0.569379677000143,1
1,12,2,4,2,2,2,0.507569926000542,1
1,12,2,4,1,2,1,1.04575000100067,1
1,12,2,4,2,2,2,0.66028882899991,1
1,12,2,4,1,1,1,0.654582933000711,1
1,12,2,3,1,1,1,1.2572465230005,1
1,12,2,3,2,2,2,0.927948037000533,1
1,12,2,3,1,2,1,0.629660648999561,1
1,12,2,3,1,2,1,0.652272890999484,1
1,12,2,3,1,1,1,0.927432490999308,1
1,12,2,3,2,2,2,0.908071957000175,1
1,12,2,3,2,1,2,0.829825122999864,1
1,12,2,3,2,1,2,0.689801344000443,1
1,12,2,1,2,1,2,0.700409739999486,1
1,12,2,1,1,2,1,0.71956852600033,1
1,12,2,1,1,1,1,0.64059565199932,1
1,12,2,1,2,2,2,0.597555960999671,1
1,12,2,1,2,1,2,0.968993658000727,1
1,12,2,1,2,2,2,1.03680727200026,1
1,12,2,1,1,2,1,0.475203983000029,1
1,12,2,1,1,1,1,0.885856226999749,1
1,12,2,2,2,1,2,0.694773330000316,1
1,12,2,2,2,2,2,0.659021030000076,1
1,12,2,2,1,2,1,0.607491486999606,1
1,12,2,2,2,1,2,0.595599743000093,1
1,12,2,2,2,2,2,0.7500931149998,1
1,12,2,2,1,1,1,0.647406246999708,1
1,12,2,2,1,1,1,0.473436481000135,1
1,12,2,2,1,2,1,0.820233980000012,1
1,13,1,4,2,2,2,1.10930951099999,1
1,13,1,4,1,1,1,0.45715382599974,1
1,13,1,4,1,1,1,0.491999251000379,1
1,13,1,4,2,1,2,0.638664818999132,1
1,13,1,4,1,2,1,0.640904086999399,1
1,13,1,4,1,2,1,0.48500745399997,1
1,13,1,4,2,2,2,0.426426695999908,1
1,13,1,4,2,1,2,0.512975102000382,1
1,13,1,1,1,2,1,0.761428937000346,1
1,13,1,1,2,1,2,0.584983178000584,1
1,13,1,1,2,2,2,0.660499542999787,1
1,13,1,1,1,1,1,0.976233678999961,1
1,13,1,1,2,2,2,0.675768877000337,1
1,13,1,1,1,1,1,1.06514857900038,1
1,13,1,1,2,1,2,0.402243300000009,1
1,13,1,1,1,2,1,0.598693499999172,1
1,13,1,2,2,1,2,0.459705575999578,1
1,13,1,2,2,2,2,0.844316095999602,1
1,13,1,2,1,2,1,0.415170786999624,1
1,13,1,2,1,1,1,0.482302643000367,1
1,13,1,2,2,1,2,0.383320822999849,1
1,13,1,2,1,1,1,0.647810348000348,1
1,13,1,2,1,2,1,0.545630994999556,1
1,13,1,2,2,2,2,1.21797191000041,1
1,13,1,3,1,1,1,0.447272788999726,1
1,13,1,3,2,1,2,0.408338085000651,1
1,13,1,3,2,1,2,0.65390350799953,1
1,13,1,3,1,1,1,0.370042287000615,1
1,13,1,3,1,2,1,0.56656116799968,1
1,13,1,3,2,2,2,0.370475932999398,1
1,13,1,3,2,2,2,0.542241520000061,1
1,13,1,3,1,2,1,0.399027552000007,1
2,1,2,2,1,1,1,1.26243016100034,1
2,1,2,2,2,2,2,0.665190237999923,1
2,1,2,2,2,1,2,0.855367632000707,1
2,1,2,2,1,1,1,0.502116556000146,1
2,1,2,2,1,2,1,0.70907023700056,1
2,1,2,2,1,2,1,0.491978148999806,1
2,1,2,2,2,2,2,0.653744367999934,1
2,1,2,2,2,1,2,0.907068489000267,1
2,1,2,1,2,1,2,1.16748930699941,1
2,1,2,1,1,1,1,1.04712203399959,1
2,1,2,1,1,2,1,1.04987370100025,1
2,1,2,1,2,2,2,0.648910990999866,1
2,1,2,1,2,1,2,1.17049647800013,1
2,1,2,1,1,1,1,0.344091125999512,1
2,1,2,1,2,2,2,0.516154578999704,1
2,1,2,1,1,2,1,0.324570827000571,1
2,1,2,4,2,2,2,1.0011324470006,1
2,1,2,4,1,2,1,0.425430868999683,1
2,1,2,4,1,2,1,0.338020562000565,1
2,1,2,4,1,1,1,0.46581275599965,1
2,1,2,4,2,1,2,0.287099279999893,1
2,1,2,4,1,1,1,0.93552779699985,1
2,1,2,4,2,1,2,0.450841582999601,1
2,1,2,4,2,2,2,0.408300631000202,1
2,1,2,3,1,2,1,0.894136554999932,1
2,1,2,3,2,2,2,0.334864555999957,1
2,1,2,3,1,1,1,0.926088365999931,1
2,1,2,3,2,2,2,0.955280621000384,1
2,1,2,3,2,1,2,0.551893387999371,1
2,1,2,3,1,1,1,1.19231168899933,1
2,1,2,3,1,2,1,0.560074152000198,1
2,1,2,3,2,1,2,0.447233859000335,1
2,2,1,1,1,2,1,0.845728197000426,1
2,2,1,1,1,2,1,0.387339483999313,1
2,2,1,1,2,1,2,0.581675833999725,1
2,2,1,1,2,1,2,0.345204228000512,1
2,2,1,1,2,2,2,0.503461698000137,1
2,2,1,1,2,2,2,0.331521992000489,1
2,2,1,1,1,1,1,0.421385960000407,1
2,2,1,1,1,1,1,0.337429849999353,1
2,2,1,3,2,1,1,0.595592958999987,0
2,2,1,3,2,2,2,0.868880229000752,1
2,2,1,3,2,2,2,0.342280400999698,1
2,2,1,3,1,2,1,0.372774000000391,1
2,2,1,3,1,1,1,0.91635249599949,1
2,2,1,3,1,2,1,0.615954197999599,1
2,2,1,3,2,1,2,0.897544888000084,1
2,2,1,3,1,1,1,0.605053262000183,1
2,2,1,4,1,2,1,0.599832726999921,1
2,2,1,4,2,2,2,0.444572299000356,1
2,2,1,4,1,1,1,0.600852481000402,1
2,2,1,4,2,1,2,1.07196608899994,1
2,2,1,4,1,1,1,0.408665437000309,1
2,2,1,4,2,1,2,0.408766486999411,1
2,2,1,4,1,2,1,0.42023725999934,1
2,2,1,4,2,2,2,0.309790336000333,1
2,2,1,2,1,1,1,0.671961109999756,1
2,2,1,2,2,2,2,0.72447233999992,1
2,2,1,2,1,2,1,0.343490238000413,1
2,2,1,2,2,1,2,0.536806740999964,1
2,2,1,2,2,1,2,0.392479590000221,1
2,2,1,2,2,2,2,0.284264140000232,1
2,2,1,2,1,1,1,0.383990540000013,1
2,2,1,2,1,2,1,0.398270068999409,1
2,3,2,2,1,2,1,0.829700395000145,1
2,3,2,2,2,1,2,0.978393563999816,1
2,3,2,2,2,1,2,0.598197694000191,1
2,3,2,2,2,2,2,0.77490089100047,1
2,3,2,2,2,2,2,0.387736276999931,1
2,3,2,2,1,1,1,0.495969544000218,1
2,3,2,2,1,2,1,0.461681208999835,1
2,3,2,2,1,1,1,0.566153386000224,1
2,3,2,3,1,1,1,1.34846207999999,1
2,3,2,3,2,1,2,0.692936823999844,1
2,3,2,3,1,2,1,0.39051237700005,1
2,3,2,3,2,2,2,0.638842532000126,1
2,3,2,3,2,2,2,0.475845044999915,1
2,3,2,3,1,1,1,0.619355607000216,1
2,3,2,3,1,2,1,0.829916027999388,1
2,3,2,3,2,1,2,0.675156483999672,1
2,3,2,4,1,1,1,0.585303009999734,1
2,3,2,4,2,1,2,0.375591963999796,1
2,3,2,4,2,2,2,0.889784635000069,1
2,3,2,4,1,2,1,0.33974545700039,1
2,3,2,4,1,1,1,0.263724818999435,1
2,3,2,4,1,2,1,0.361551326999688,1
2,3,2,4,2,1,2,0.408443206000811,1
2,3,2,4,2,2,2,0.51107643100022,1
2,3,2,1,2,2,1,0.486552298000788,0
2,3,2,1,2,1,2,0.572236314999827,1
2,3,2,1,1,1,1,0.583857887999329,1
2,3,2,1,2,2,2,0.856114585999421,1
2,3,2,1,2,1,2,0.80895442200017,1
2,3,2,1,1,2,1,0.561927755999932,1
2,3,2,1,1,2,1,0.651526714999818,1
2,3,2,1,1,1,1,0.355995846000042,1
2,4,1,1,2,2,2,1.25757003599938,1
2,4,1,1,1,1,1,0.382275265000317,1
2,4,1,1,2,1,2,0.526726265999969,1
2,4,1,1,1,2,1,0.379138500999943,1
2,4,1,1,2,2,2,0.38057076000041,1
2,4,1,1,1,2,1,0.400714529000652,1
2,4,1,1,2,1,2,0.636870378999447,1
2,4,1,1,1,1,1,0.295535666999967,1
2,4,1,2,1,1,1,0.499043089999759,1
